,Time,Indus_levels,Indus_Inflow,Indus_Outflow,Kabul_Inflow,Jhelum_levels,Jhelum_Inflow,Jhelum_Outflow,Chenab_Inflow,System_Inflow_now,System_Inflow_past,System_Inflow_avg
118,20/Jul ,1470.21 ,251.7 ,135.0 ,51.6 ,1170.20 ,55.1 ,10.0 ,95.9 ,454.3 ,329.9 ,433.8 
119,19/Jul ,1464.58 ,221.0 ,135.0 ,46.8 ,1168.30 ,42.9 ,10.0 ,88.5 ,399.2 ,310.4 ,439.0 
120,18/Jul ,1460.44 ,183.3 ,150.0 ,45.7 ,1166.90 ,40.6 ,10.0 ,80.3 ,349.9 ,311.3 ,447.2 
121,17/Jul ,1458.82 ,183.4 ,160.0 ,47.3 ,1165.60 ,41.8 ,10.0 ,59.3 ,331.8 ,299.1 ,443.8 
122,16/Jul ,1457.68 ,206.0 ,145.0 ,55.3 ,1164.25 ,44.1 ,10.0 ,50.9 ,356.3 ,296.2 ,417.8 
123,15/Jul ,1454.65 ,239.4 ,155.0 ,63.0 ,1162.80 ,52.3 ,10.0 ,67.7 ,422.4 ,303.4 ,414.7 
124,14/Jul ,1450.44 ,226.7 ,155.0 ,58.2 ,1161.00 ,60.1 ,10.0 ,87.7 ,432.7 ,306.6 ,419.7 
125,13/Jul ,1445.13 ,211.7 ,155.0 ,47.3 ,1158.75 ,56.8 ,10.0 ,99.6 ,415.4 ,328.7 ,417.6 
126,12/Jul ,1440.75 ,184.3 ,155.0 ,36.3 ,1156.55 ,46.3 ,19.7 ,88.9 ,355.8 ,337.3 ,410.4 
127,11/Jul ,1438.45 ,171.1 ,155.0 ,38.2 ,1155.30 ,44.1 ,25.0 ,79.7 ,333.1 ,343.6 ,412.6 
128,10/Jul ,1437.20 ,156.8 ,155.5 ,34.4 ,1154.40 ,40.3 ,35.0 ,67.9 ,299.4 ,329.8 ,402.7 
129,9/Jul ,1437.16 ,140.4 ,134.0 ,36.0 ,1154.15 ,38.9 ,40.0 ,55.3 ,270.6 ,326.2 ,388.7 
130,8/Jul ,1436.70 ,133.3 ,132.5 ,37.6 ,1154.20 ,36.8 ,40.0 ,55.3 ,263.0 ,324.4 ,386.2 
131,7/Jul ,1436.70 ,132.1 ,132.5 ,37.0 ,1154.35 ,36.8 ,40.0 ,55.3 ,261.2 ,343.8 ,389.3 
132,6/Jul ,1436.80 ,136.6 ,132.6 ,37.6 ,1154.50 ,38.9 ,40.0 ,51.1 ,264.2 ,361.6 ,393.4 
133,5-Jul ,1436.54 ,144.9 ,132.5 ,34.5 ,1154.55 ,42.1 ,40.0 ,51.1 ,272.6 ,357.6 ,390.7 
134,4-Jul ,1435.59 ,151.6 ,132.1 ,37.4 ,1154.45 ,44.3 ,30.0 ,50.9 ,284.2 ,341.0 ,376.8 
135,3-Jul ,1434.06 ,155.9 ,130.6 ,37.8 ,1153.80 ,43.8 ,30.0 ,59.0 ,296.5 ,333.1 ,360.4 
136,2/Jul ,1432.05 ,144.8 ,130.1 ,35.9 ,1153.15 ,44.3 ,40.0 ,67.1 ,292.1 ,323.2 ,364.2 
137,1/Jul ,1430.91 ,129.3 ,130.8 ,36.2 ,1152.95 ,42.6 ,50.0 ,58.4 ,266.5 ,329.3 ,372.0 
